item_id,order_id,product_id,quantity,unit_price
1,1,35,5,160.97
2,1,58,2,100.2
3,1,18,4,99.7
4,1,25,3,135.42
5,2,47,2,168.89
6,2,59,2,196.23
7,2,35,1,181.84
8,2,38,5,134.28
9,3,42,4,31.46
10,4,12,1,55.73
11,4,21,2,93.66
12,4,22,4,59.26
13,4,54,4,54.19
14,5,31,1,151.05
15,6,23,2,131.77
16,7,49,1,190.16
17,8,54,1,126.15
18,8,16,2,97.34
19,9,37,2,95.68
20,10,50,3,37.72
21,10,39,1,156.66
22,10,11,3,26.08
23,11,60,3,117.27
24,12,26,2,19.82
25,12,45,2,24.87
26,12,50,3,170.8
27,12,39,1,160.26
28,13,23,5,88.53
29,14,5,5,131.26
30,14,1,4,165.35
31,14,7,4,192.34
32,15,46,2,89.92
33,15,47,5,193.26
34,15,18,5,162.59
35,15,35,4,95.65
36,16,21,2,166.98
37,16,6,3,176.91
38,16,16,4,116.11
39,17,22,1,101.38
40,17,21,2,100.07
41,17,23,3,71.36
42,17,57,5,141.72
43,18,36,1,105.74
44,18,13,1,52.06
45,18,27,4,113.25
46,19,45,4,130.94
47,19,32,4,159.61
48,20,19,2,83.85
49,21,20,5,76.96
50,21,36,5,72.03
51,22,23,4,57.83
52,22,17,2,28.53
53,22,13,3,28.31
54,23,13,2,149.02
55,23,18,5,195.43
56,24,7,2,62.77
57,24,24,2,63.94
58,24,46,5,29.68
59,25,4,5,61.96
60,26,41,4,25.0
61,26,1,5,60.44
62,27,29,3,40.95
63,27,4,3,188.5
64,27,31,1,165.3
65,27,26,4,19.45
66,28,10,2,163.16
67,29,6,2,28.1
68,29,49,4,123.23
69,29,51,5,49.01
70,30,29,4,62.98
71,30,38,4,64.55
72,30,40,1,123.87
73,30,48,1,189.77
74,31,41,2,56.6
75,31,6,2,51.77
76,32,11,1,84.66
77,33,19,1,50.14
78,33,46,3,142.08
79,33,30,1,139.03
80,33,60,3,158.62
81,34,28,1,111.18
82,34,42,2,182.13
83,35,5,1,37.35
84,35,20,5,151.04
85,36,29,1,96.39
86,36,20,4,188.81
87,36,33,5,101.29
88,37,39,1,178.43
89,38,39,3,10.04
90,38,15,5,119.48
91,38,2,3,117.36
92,39,31,5,132.04
93,39,59,3,40.39
94,40,41,4,193.96
95,40,31,3,84.62
96,40,21,1,172.25
97,40,22,4,140.26
98,41,43,4,163.64
99,41,36,1,93.69
100,41,21,3,68.04
101,42,56,5,165.85
102,42,1,5,95.08
103,42,4,2,106.09
104,42,40,4,126.95
105,43,14,3,112.09
106,44,29,4,28.68
107,44,41,5,160.86
108,44,46,2,65.59
109,45,36,4,23.17
110,46,30,1,131.3
111,47,32,3,104.22
112,47,18,4,167.76
113,48,16,4,112.49
114,48,25,2,184.76
115,48,33,2,173.48
116,48,18,4,71.27
117,49,53,1,60.15
118,49,20,5,118.08
119,49,43,4,173.72
120,50,35,4,72.3
121,50,36,5,78.55
122,50,60,3,174.56
123,50,45,2,116.49
124,51,55,4,13.51
125,51,48,4,142.51
126,52,25,2,101.58
127,52,3,2,102.94
128,52,38,3,174.58
129,52,56,4,24.44
130,53,1,2,84.94
131,53,42,2,19.59
132,53,51,3,71.02
133,53,45,4,131.71
134,54,55,5,79.1
135,54,21,4,175.11
136,54,3,5,18.34
137,55,15,1,89.62
138,55,7,1,91.51
139,55,45,3,181.16
140,56,21,1,62.2
141,57,28,2,52.62
142,57,27,5,137.94
143,57,12,2,39.14
144,58,40,2,102.04
145,58,38,2,50.27
146,58,41,3,94.61
147,58,43,1,180.28
148,59,58,3,137.13
149,59,11,1,91.13
150,59,23,5,63.33
151,59,28,3,94.08
152,60,13,4,171.39
153,60,7,2,79.36
154,60,23,5,62.69
155,61,2,4,58.52
156,61,37,1,182.56
157,61,48,4,167.4
158,62,50,2,123.37
159,62,23,2,129.13
160,62,40,3,137.16
161,63,41,1,181.15
162,63,42,1,65.24
163,64,3,5,76.14
164,64,9,1,182.37
165,64,21,4,39.25
166,64,9,5,175.9
167,65,34,5,183.12
168,65,54,2,55.11
169,65,53,4,193.63
170,66,48,3,161.82
171,66,30,1,32.45
172,66,15,4,193.61
173,67,6,4,7.71
174,67,35,1,93.68
175,67,44,3,118.98
176,68,7,2,96.93
177,68,40,5,68.96
178,68,40,2,131.29
179,69,59,3,131.6
180,69,8,2,13.84
181,69,3,3,199.2
182,69,8,1,50.78
183,70,25,4,77.34
184,70,48,5,86.73
185,71,57,4,132.7
186,71,54,4,125.05
187,72,3,3,47.37
188,72,29,2,171.8
189,72,7,3,111.17
190,73,4,4,58.79
191,73,8,4,22.88
192,73,14,5,194.35
193,74,51,3,52.49
194,75,51,5,45.01
195,75,54,5,45.39
196,76,53,2,69.07
197,76,10,5,5.55
198,77,9,5,53.88
199,77,12,1,133.9
200,78,9,1,74.85
201,79,38,3,8.08
202,79,17,1,29.72
203,80,34,1,150.4
204,80,31,4,156.71
205,80,33,5,26.26
206,80,33,2,189.35
207,81,47,5,63.81
208,82,4,4,170.21
209,83,44,1,100.6
210,83,59,4,19.33
211,83,6,3,123.61
212,83,5,2,58.63
213,84,25,5,108.45
214,84,30,5,123.05
215,84,7,1,171.29
216,85,28,4,178.17
217,85,27,3,166.34
218,86,27,1,65.94
219,86,21,3,77.98
220,86,10,4,18.09
221,86,54,1,23.18
222,87,48,3,163.29
223,88,38,5,114.52
224,89,27,3,175.34
225,90,56,1,193.83
226,90,39,3,73.57
227,90,37,5,46.48
228,90,43,4,48.73
229,91,23,5,76.67
230,92,37,2,162.4
231,92,55,5,195.03
232,92,53,5,124.64
233,93,39,3,10.65
234,94,45,3,184.69
235,94,23,1,40.37
236,94,10,5,133.18
237,95,10,1,22.89
238,96,25,4,93.46
239,96,11,3,65.77
240,97,50,5,121.26
241,97,57,1,35.34
242,97,49,5,14.7
243,98,18,4,134.07
244,99,39,4,85.76
245,99,14,5,27.19
246,99,28,1,60.23
247,99,44,5,99.89
248,100,3,2,82.07
249,100,39,1,6.5
250,100,20,2,154.63
251,9998,49,3,61.44
