order_id,user_id,order_date,order_status,total_amount
1,12,2024-06-02,pending,145.55
2,63,2024-06-03,returned,182.79
3,52,2024-06-04,completed,144.24
4,1,2024-06-05,returned,223.18
5,59,2024-06-06,cancelled,347.06
6,72,2024-06-07,returned,136.52
7,38,2024-06-08,pending,775.44
8,75,2024-06-09,completed,602.16
9,8,2024-06-10,completed,473.58
10,65,2024-06-11,pending,59.65
11,66,2024-06-12,completed,683.3
12,9,2024-06-13,completed,545.04
13,31,2024-06-14,returned,109.11
14,73,2024-06-15,pending,469.45
15,6,2024-06-16,completed,344.09
16,75,2024-06-17,cancelled,748.74
17,27,2024-06-18,cancelled,202.37
18,51,2024-06-19,pending,542.28
19,39,2024-06-20,returned,263.2
20,10,2024-06-21,completed,374.75
21,73,2024-06-22,completed,72.51
22,28,2024-06-23,cancelled,118.98
23,45,2024-06-24,completed,705.23
24,48,2024-06-25,cancelled,138.83
25,70,2024-06-26,cancelled,495.17
26,68,2024-06-27,completed,539.27
27,71,2024-06-28,cancelled,746.43
28,14,2024-06-29,pending,222.61
29,14,2024-06-30,pending,228.79
30,78,2024-07-01,pending,578.33
31,27,2024-07-02,cancelled,411.75
32,33,2024-07-03,completed,87.45
33,55,2024-07-04,cancelled,49.61
34,43,2024-07-05,pending,515.13
35,34,2024-07-06,pending,596.87
36,71,2024-07-07,returned,455.31
37,15,2024-07-08,completed,756.86
38,20,2024-07-09,completed,670.16
39,75,2024-07-10,pending,352.38
40,6,2024-07-11,cancelled,301.25
41,6,2024-07-12,cancelled,179.91
42,32,2024-07-13,completed,292.64
43,72,2024-07-14,returned,779.46
44,20,2024-07-15,pending,693.72
45,23,2024-07-16,returned,34.46
46,43,2024-07-17,returned,644.75
47,32,2024-07-18,cancelled,139.97
48,14,2024-07-19,returned,699.65
49,61,2024-07-20,pending,171.66
50,59,2024-07-21,cancelled,254.57
51,30,2024-07-22,pending,33.58
52,25,2024-07-23,returned,272.69
53,9,2024-07-24,cancelled,290.65
54,66,2024-07-25,returned,548.42
55,69,2024-07-26,cancelled,752.3
56,15,2024-07-27,cancelled,155.18
57,34,2024-07-28,completed,100.1
58,56,2024-07-29,cancelled,586.91
59,41,2024-07-30,returned,490.87
60,66,2024-07-31,completed,317.38
61,74,2024-08-01,pending,214.96
62,56,2024-08-02,completed,423.14
63,69,2024-08-03,pending,300.91
64,9,2024-08-04,cancelled,504.18
65,16,2024-08-05,cancelled,413.09
66,53,2024-08-06,cancelled,330.88
67,38,2024-08-07,pending,165.59
68,49,2024-08-08,pending,498.18
69,39,2024-08-09,returned,445.13
70,1,2024-08-10,cancelled,240.23
71,56,2024-08-11,cancelled,380.02
72,57,2024-08-12,pending,416.27
73,22,2024-08-13,completed,237.77
74,80,2024-08-14,cancelled,88.31
75,31,2024-08-15,cancelled,191.34
76,26,2024-08-16,pending,34.17
77,32,2024-08-17,returned,494.85
78,10,2024-08-18,returned,340.34
79,74,2024-08-19,pending,578.9
80,50,2024-08-20,returned,328.73
81,19,2024-08-21,completed,715.74
82,14,2024-08-22,returned,186.79
83,67,2024-08-23,returned,54.42
84,32,2024-08-24,completed,373.32
85,60,2024-08-25,cancelled,760.78
86,57,2024-08-26,returned,667.0
87,71,2024-08-27,returned,719.31
88,61,2024-08-28,returned,218.47
89,32,2024-08-29,cancelled,616.16
90,67,2024-06-01,returned,507.0
91,36,2024-06-02,returned,75.82
92,37,2024-06-03,pending,228.3
93,41,2024-06-04,completed,123.62
94,30,2024-06-05,returned,559.75
95,28,2024-06-06,completed,340.67
96,43,2024-06-07,returned,341.38
97,27,2024-06-08,returned,320.74
98,75,2024-06-09,completed,687.53
99,74,2024-06-10,returned,389.43
100,46,2024-06-11,cancelled,606.48
9998,5,2024-08-20,invalid_unknown_status,42.5
