product_id,product_name,category,price
1,USB-C Hub #1,clothing,284.31
2,Cotton T-Shirt #2,home,53.71
3,Running Shoes #3,sports,160.66
4,Desk Lamp #4,books,183.94
5,Yoga Mat #5,beauty,289.48
6,Coffee Maker #6,toys,279.02
7,Bluetooth Speaker #7,electronics,227.8
8,Backpack #8,clothing,208.5
9,Notebook Set #9,home,215.31
10,Water Bottle #10,sports,122.7
11,Keyboard #11,books,203.14
12,Monitor Stand #12,beauty,115.16
13,Winter Jacket #13,toys,270.38
14,Hiking Boots #14,electronics,138.18
15,Smart Watch #15,clothing,78.13
16,Phone Case #16,home,23.89
17,Wall Clock #17,sports,11.2
18,Board Game #18,books,168.4
19,Face Cream #19,beauty,178.58
20,Wireless Mouse #20,toys,7.12
21,USB-C Hub #21,electronics,213.81
22,Cotton T-Shirt #22,clothing,22.37
23,Running Shoes #23,home,24.88
24,Desk Lamp #24,sports,14.27
25,Yoga Mat #25,books,102.47
26,Coffee Maker #26,beauty,156.67
27,Bluetooth Speaker #27,toys,87.15
28,Backpack #28,electronics,148.19
29,Notebook Set #29,clothing,164.07
30,Water Bottle #30,home,218.38
31,Keyboard #31,sports,265.29
32,Monitor Stand #32,books,174.98
33,Winter Jacket #33,beauty,76.68
34,Hiking Boots #34,toys,144.52
35,Smart Watch #35,electronics,125.08
36,Phone Case #36,clothing,32.83
37,Wall Clock #37,home,199.39
38,Board Game #38,sports,109.51
39,Face Cream #39,books,126.27
40,Wireless Mouse #40,beauty,259.82
41,USB-C Hub #41,toys,20.98
42,Cotton T-Shirt #42,electronics,197.76
43,Running Shoes #43,clothing,195.62
44,Desk Lamp #44,home,22.88
45,Yoga Mat #45,sports,219.82
46,Coffee Maker #46,books,241.17
47,Bluetooth Speaker #47,beauty,37.23
48,Backpack #48,toys,61.52
49,Notebook Set #49,electronics,163.2
50,Water Bottle #50,clothing,46.35
51,Keyboard #51,home,59.13
52,Monitor Stand #52,sports,141.47
53,Winter Jacket #53,books,262.96
54,Hiking Boots #54,beauty,27.24
55,Smart Watch #55,toys,243.36
56,Phone Case #56,electronics,257.5
57,Wall Clock #57,clothing,33.88
58,Board Game #58,home,197.38
59,Face Cream #59,sports,164.47
60,Wireless Mouse #60,books,9.35
